authors,weights
Karen Meagher,2800000
Karen Zacarias,4270000
Karin Housley,1170000
Kariuki Njenga,1030000
Karl Baedeker,3790000
Karl Barth,11200000
Karl Bowman,10900000
Karl Brandt,13700000
Karl Denninger,843000
Karl Dönitz,410000
Karl E. Weick,1400000
Karl Freund,14200000
Karl Friedrich Schinkel,1370000
Karl G. Maeser,146000
Karl Georg von Raumer,974000
Karl Hess,11800000
Karl J. Friston,384000
Karl Jaspers,67600000
Karl Kraus,13200000
Karl Lagerfeld,42000000
Karl Lauterbach,6470000
Karl Löwith,429000
Karl Marlantes,155000
Karl Nehammer,1170000
Karl Pearson,14400000
Karl Polanyi,1770000
Karl Popper,9260000
Karl Rahner,4180000
Karl Rove,3270000
Karl Schroeder,8520000
Karl Shapiro,6410000
Karl William Kapp,1790000
Karl Wolff,11300000
Karma yoga,43600000
Karolina Vidović-Krišto,60900
Karunanidhi,2240000
Kashi Vishwanath Temple,4810000
Kashmir,385000000
Kashmir conflict,87700000
Kashmiri Pandits,3280000
Kashubians,1130000
Kasiva Mutua,724000
Kaso Sodon,195000
Kass Morgan,6270000
Kassym-Jomart Tokayev,862000
Katalin Karikó,3450000
Katawa Shoujo,1250000
Kate Bashabe,64300
Kate Beckinsale,28500000
Kate Bornstein,4100000
Kate Brian,97300000
Kate Bush,68500000
Kate Chopin,11300000
Kate Clinton,18100000
Kate DiCamillo,3050000
Kate Forbes,25500000
Kate Henshaw,3220000
Kate Hoey,2810000
Kate Mara,39400000
Kate Marvel,50500000
Kate Moss,57400000
Kate Nash,22800000
Kate Raworth,928000
Kate Winslet,32300000
Katharine Chang,6520000
Katharine Fullerton Gerould,330000
Katharine Graham,11900000
Katharine Kerr,5910000
Katharine Lee Bates,5000000
Katharine McPhee,11400000
Katharine Pearson Woods,14300000
Katharine Viner,2550000
Katharine Whitehorn,668000
Katherine Anne Porter,14600000
Katherine Dunn,17200000
Katherine Harris,29700000
Katherine Heigl,9530000
Katherine Maher,6750000
Katherine Mansfield,12200000
Katherine Paterson,8510000
Katherine Philips,6420000
Katherine Thornton,10100000
Kathleen Norris,8490000
Kathleen Parker,16300000
Kathleen Raine,7190000
Kathryn D. Sullivan,12300000
Kathryn Lasky,2980000
Kathy Acker,3320000
Kathy Freston,288000
Kathy Griffin,15800000
Kathy Najimy,867000
Katie Couric,12700000
Katie Hill (politician),5590000
Katie McGrath,11700000
Katie Melua,1910000
Katlego Kai Kolanyane-Kesupile,2920
Katori Hall,1050000
Katrina Pierson,3940000
Katrín Jakobsdóttir,904000
Katt Williams,6880000
Katy Perry,92400000
Kawaii,563000000
Kay Bailey Hutchison,5640000
Kayla Barron,4890000
Kayleigh McEnany,1620000
Kaysone Phomvihane,379000
Kazi Nazrul Islam,2390000
Kazimierz Ajdukiewicz,452000
Kazimir Malevich,1440000
Kazuo Ishiguro,5320000
Keabonye Ntsabane,909
Keariene Muizz,566
Keeanga-Yamahtta Taylor,167000
Keenese Katisenge-Tizhani,1200
Kees van Dongen,2310000
Keiji Nishitani,81200
Keikavus,9820
Keir Hardie,1650000
Keir Starmer,9330000
Keira Knightley,23200000
Keiran Lee,57900000
Keisha Castle-Hughes,4220000
Keith Ellison,9990000
Keith Ferrazzi,645000
Keith Haring,17500000
Keith Joseph,59200000
Keith Laumer,1790000
Keith Mitchell,36900000
Keith Olbermann,753000
Keith Roberts,34900000
Keith Rowley,6350000
Keith Waterhouse,5900000
Keith West,181000000
Kelley Armstrong,10600000
Kelly Clarkson,42200000
Kelly Marie Tran,31400000
Kelly Osbourne,13300000
Kelsang Gyatso,603000
Kelsey Grammer,8740000
Kelvin Edward Felix,6120000
Kemi Adeosun,689000
Kemi Akindoju,83100
Kemi Olunloyo,670000
Ken Clarke,18000000
Ken Cuccinelli,251000
Ken Ham,23200000
Ken Kern,13900000
Ken Livingstone,5990000
Ken Loach,9110000
Ken Olsen,11200000
Ken Robinson,39500000
Ken Schoolland,197000
Ken Thompson,38600000
Ken Venturi,3340000
Ken Wharton,7040000
Kenan Malik,4190000
Kendare Blake,644000
Kengo Kuma,4220000
Kenichi Ohmae,428000
Kenichiro Takaki,316000
Kenji Kaido,512000
Kenn Kaufman,2160000
Kennedy Agyapong,4820000
Kenneth Arnold,41000000
Kenneth Arrow,61800000
Kenneth Binmore,454000
Kenneth Boulding,3250000
Kenneth Burke,25700000
Kenneth Clark,90200000
Kenneth D. Mackenzie,9260000
Kenneth E. Iverson,2330000
Kenneth F. McKenzie Jr.,6420000
Kenneth Grahame,6040000
Kenneth Kaunda,5250000
Kenneth Marende,55300
Kenneth Minogue,3020000
Kenneth Patchen,1800000
Kenneth Rexroth,2590000
Kenneth Scott Latourette,965000
Kenneth Tynan,4640000
Kenneth Williams,211000000
Kenneth Zinck,1910000
Kenny Rogers,42000000
Kenosis,1040000
Kent Beck,13900000
Kent Hovind,1120000
Kent Thiry,2600000
Kentucky,1290000000
Kentucky Route Zero,12800000
Kenya,1610000000
Kenzaburō Ōe,527000
Kepler,54400000
Kerala,1080000000
Kerisiano Kalolo,2490
Kerry Ellis,14400000
Kerry Washington,51700000
Kerygma,1120000
Keshub Chunder Sen,303000
Ketanji Brown Jackson,1710000
Kevin A. Lynch,27000000
Kevin Barry,76000000
Kevin D. Williamson,17500000
Kevin Devine,11600000
Kevin Dockery (author),1660000
Kevin J. O'Connor (actor),6000000
Kevin James,456000000
Kevin Keck,3490000
Kevin Keegan,11200000
Kevin M. Kruse,5450000
Kevin McCarthy,37200000
Kevin Rashid Johnson,5760000
Kevin Rudd,8890000
Kevin Spacey,10300000
Kevin W. Pearson,14800000
Kevin Warwick,11500000
Key,13910000000
Keynesian Revolution,11100000
Keynesian economics,25000000
Kgomotso Phatsima,10800
Khajuraho,20800000
Khakheperraseneb,8060
Khaled Hosseini,6350000
Khaled Mashal,3460000
Khalid A. Al-Falih,1020000
Khalji dynasty,112000
Khamba Thoibi,54100
Khanyi Mbau,488000
Khem Veasna,980000
Khilafat Movement,615000
Khloé Kardashian,42500000
Khmer Empire,12000000
Khumo Kgwaadira,27800
Khums,1080000
Khursheed Kamal Aziz,933000
Khwaja Abdullah Ansari,270000
Kiefer Sutherland,6670000
Kieran Thomas Conry,183000
Kigeli V of Rwanda,42100
Kiichiro Toyoda,271000
Kiki Mordi,580000
Killer Kowalski,2990000
Kim A. Williams,313000000
Kim Gordon,115000000
Kim Hye-ja,8830000
Kim Il-sung,28600000
Kim Jong-il,43600000
Kim Jong-un,52800000
Kim Peek,30300000
Kim Sharma,138000000
Kim Sowol,83000
Kim Stanley Robinson,23300000
Kin Hubbard,3970000
Kinetic art,86900000
King Angel,794000000
King Arthur,263000000
King James Version,450000000
"Kingman Brewster, Jr.",906000
Kingsley Amis,6650000
Kinky Friedman,1440000
Kinship,64100000
Kiran Desai,5640000
Kiran Nepali,7310000
Kirby Page,100000000
Kiril Petkov,806000
Kirk Douglas,28400000
Kirk Hammett,7620000
Kiro Gligorov,399000
Kiron Skinner,397000
Kirsten Gillibrand,1160000
Kirsten Greenidge,1170000
Kirstie Alley,3810000
Kirstin Valdez Quade,100000
Kirsty Coventry,3290000
Kiruba Munusamy,16700
Kishore Kunal,2710000
Kissi Agyebeng,108000
Kissing,2950000000
Kit Carson,33500000
Kite,256000000
Kjell A. Nordström,451000
Klaus Barbie,9200000
Klaus F. Zimmermann,7930000
Klaus Kinski,2220000
Klaus Meine,36100000
Klemens von Metternich,294000
Kleshas (Buddhism),54600
Klingon proverbs,469000
Know thyself,10800000
Knowability of God,110000
Knowledge economy,728000000
Knowledge management,1990000000
Knowledge worker,4490000000
Knut Hamsun,1850000
Knute Rockne,1240000
Ko Un,2060000000
Ko Wen-je,14500000
Kodo Nishimura,86900
Kodo Sawaki,72300
Koenraad Elst,231000
Kofi Annan,6010000
Kogaku Soko,9540
Koharu Kusumi,801000
Koho Kenichi,33300
Koichi Tohei,169000
Koji Wada,3560000
Kokei Sochin,2270000
Kolas Yotaka,325000
Kolkata,782000000
Konami Tsukamoto,284000
Konrad Adenauer,11100000
Konrad Heiden,3470000
Konrad Lorenz,13300000
Konstantin Kisin,525000
Konstantin Rokossovsky,68300
Konstantin Tsiolkovsky,197000
Konstrakta,445000
Koo Kwang-ming,522000
Koodiyattam,71900
Korea,5900000000
Korea under Japanese rule,80900000
Korean Air Lines Flight 007,6040000
Korean War,378000000
Korean nationalism,7250000
Koreans,3800000000
Kosovo,405000000
Kozan Ikkyō,8
Kozhikode,99100000
Kozma Prutkov,178000
Kris Carr,8990000
Krishna,588000000
Krist Novoselic,1200000
Kristanna Loken,3290000
Kristen Bell,59000000
Kristen Nygaard,1380000
Kristen Stewart,70000000
Kristi Noem,1190000
Kristian Williams,7910000
Kristin Hersh,2430000
Kristina Moore,24700000
Kristoffer Diaz,2180000
Krysta Gonzales,1280000
Krystal Ball,15100000
Ksenia Svetlova,61400
Kshama Sawant,477000
Kshatriya,9130000
Kumkum Bhagya,20800000
Kung Fu (TV series),154000000
Kunti,11300000
Kurien Kunnumpuram,8600
Kurt Daluege,68400
Kurt Danziger,2660000
Kurt Gödel,2080000
Kurt Hahn,9450000
Kurt Koffka,320000
Kurt Lewin,5730000
Kurt Schuschnigg,140000
Kurt Student,27700000
Kurt Vonnegut,7460000
Kurt Warner,12000000
Kurt von Hammerstein-Equord,24000
Kuruvilla Pandikattu,7320
Kurzgesagt,51200000
Kuvempu,3190000
Kuwait,946000000
Kwame Nkrumah,7430000
Kwanzaa,38800000
Kwasi Kwarteng,1450000
Kyle Carpenter,13900000
Kyle Cease,5450000
Kyle Rittenhouse,3390000
Kylie Minogue,43500000
Kyrsten Sinema,1370000
Kyung-sook Shin,2210000
Kyuzo Mifune,67900
Kyūichi Tokuda,556
Käthe Kollwitz,3140000
Kōbō Abe,2040000
Kōki Hirota,131000
L. David Mech,23300000
L. Frank Baum,17400000
L. K. Advani,1140000
L. K. Samuels,15600000
L. Neil Smith,65000000
L. P. Hartley,7500000
L. P. Jacks,62100000
L. Ron Hubbard,8980000
LGBT in Islam,11800000
LSD,85400000
La Fille aux yeux d'or,26100000
La Géométrie,51200000
Labor power,741000000
Laboratory,2130000000
Labour in India,383000000
Labyrinth,122000000
Labīd,17500
Lady Constance Lytton,4410000
Lady Gaga,108000000
Lafcadio Hearn,2260000
Lahar (god),565000
Lahiri Mahasaya,300000
Lahore,241000000
Lai Pei-yuan,9400000
Lai Pin-yu,11300000
Laika,79100000
Laila Lalami,177000
Lailee Bakhtiar,686000
Lajos Kassák,453000
Lajos Kossuth,6300000
Lake Como,380000000
Lakshmi,173000000
Lal Bahadur Shastri,7400000
Lala Lajpat Rai,2100000
Lalleshwari,56600
Lalu Prasad Yadav,1570000
Lama Ole Nydahl,275000
Lamia Abbas Amara,236000
Lana Condor,8210000
Lana Del Rey,88900000
Lana Popham,1330000
Lance Armstrong,15800000
Lance Jennings,7410000
Lancelot Andrewes,670000
Lancelot Law Whyte,1350000
Land,7090000000
Land art,3130000000
Landed property,1570000000
Landfill,101000000
Lane Kirkland,9710000
Lane Nishikawa,2780000
Lang Lang,3380000000
Langdon Smith,9510000
Langlands program,802000
Langston Hughes,14500000
Language,20300000000
Laniakea Supercluster,254000
Lanxi Daolong,4170
Laos,1310000000
Laozi,2090000
Laparoscopy,91400000
Laplace's equation,21900000
Lar Corbett,2710000
Lara Dutta,6470000
Lara George,36000000
Lara Logan,16400000
Larbi Ben M'hidi,381000
Large-group awareness training,384000000
Larisa Alexandrovna,167000
Larkin Kerwin,2370000
Larks,63600000
Larry Andersen,10600000
Larry Baer,5430000
Larry Beinhart,929000
Larry Bossidy,223000
Larry Brantley,4420000
Larry Craig,33800000
Larry David,219000000
Larry Elder,12800000
Larry Ellison,10900000
Larry Fink,6830000
Larry Harvey,23100000
Larry Holmes,16600000
Larry James Kulick,558000
Larry King,111000000
Larry Kudlow,1190000
Larry Laudan,2280000
Larry LeSueur,2340000
Larry McDonald,17700000
Larry McMurtry,2920000
Larry Niven,4430000
Larry Page,257000000
Larry Sanger,3820000
Larry Sharpe,7200000
Larry Wilmore,2750000
Larry Winget,1370000
Larry the Cable Guy,10800000
Lars Løkke Rasmussen,897000
Lars Rudebeck,81200
Lars Ulrich,13000000
Las Vegas,1240000000
Lascelles Abercrombie,1310000
Last Judgment,352000000
Last words in Fire Emblem series games,13600000
Last words in Halo series games,52200000
Lata Mangeshkar,33800000
Lateral thinking,104000000
Latin,3980000000
Latin America,1250000000
Laura Anne Gilman,5800000
Laura Antoniou,1600000
Laura Bates,21600000
Laura Bush,43400000
Laura Esquivel,7600000
Laura Farnsworth Dogu,28800
Laura Hillenbrand,2470000
Laura Ingraham,5570000
Laura Mersini-Houghton,134000
Laura Nyro,662000
Laura Pausini,17900000
Laura Penny,36500000
Laura Riding,65200000
Lauren Ancel Meyers,690000
Lauren Anderson (model),38600000
Lauren Bacall,4490000
Lauren Duca,3750000
Lauren Faust,7910000
Lauren Graham,39500000
Lauren Hutton,7400000
Lauren Morrill,2370000
Lauren Ornelas,1500000
Lauren Southern,43500000
Lauren Vélez,8000000
Laurence Binyon,1050000
Laurence Fox,24900000
Laurence Hope,23200000
Laurence J. Peter,21000000
Laurence Lampert,1750000
Laurence Olivier,23600000
Laurence Sterne,5800000
Laurence Tribe,6050000
Laurent Clerc,6660000
Laurent Schwartz,11300000
Laurent Touil-Tartour,6370
Lauretta Bender,2980000
Laurette Onkelinx,139000
Laurette Taylor,2510000
Laurie Anderson,29300000
Laurie Lee,36500000
Laurie Penny,13200000
Laurie Zoloth,59600
Lavrentiy Beria,115000
Law enforcement in the United States,434000000
Law of Identity,1470000000
Lawrence A. Appley,1120000
Lawrence Durrell,4200000
Lawrence Ferlinghetti,1120000
Lawrence K. Frank,69000000
Lawrence Klein,35900000
Lawrence Lessig,1720000
Lawrence M. Schoen,2350000
Lawrence O'Donnell,12500000
Lawrence Oates,8310000
Lawrence Rocks (chemist),20200000
Lawrence Shepp,1360000
Lawrence Summers,31700000
Laws (dialogue),560000000
Lawsuit,744000000
Lawton Chiles,6490000
Lawyers,1190000000
Laxity,9500000
Layal Abboud,1390000
Layne Staley,4270000
Layoff,118000000
Lazar Kaganovich,771000
Laziness,34500000
Laṅkāvatāra Sūtra,16100
Le Corbusier,23900000
LeBron James,87800000
LeVar Burton,3930000
League of Legends,510000000
Leah Lakshmi Piepzna-Samarasinha,84000
Leah Namugerwa,11200
Learned Hand,966000000
Learning organization,4030000000
Leather,1540000000
Lebanon,927000000
Lebogang Maruapula,18500
Lecco,47800000
Lech Kaczyński,3680000
Lech Wałęsa,6300000
Lectures on Elementary Mathematics,33500000
Lee Anderson,436000000
Lee Chia-fen,3070000
Lee Chih-kung,1950000
Lee Child,755000000
Lee Edelman,10600000
Lee Evans (comedian),13300000
Lee Hong-yuan,84000000
Lee Iacocca,1090000
Lee Jye,2250000
Lee Krasner,3820000
Lee Kuan Yew,5560000
Lee Li-chen,430000000
Lee McIntyre,19600000
Lee Raymond,95300000
Lee Roy Beach,25200000
Lee Siegel,38100000
Lee Smolin,2370000
Lee Teng-hui,6260000
Lee Yen-hsiu,573000
Leela Row Dayal,439000
Left-wing market anarchism,1880000
Left-wing politics,219000000
Legal cases,4750000000
Legal fiction,205000000
Legal positivism,3890000
Legal proceedings,636000000
Legal remedies,162000000
Legends of the Jews,14700000
Legislators,98900000
Legislature,321000000
Legitimacy,141000000
Leigh Brackett,2910000
Leigh Hunt,22000000
Leigh Snowden,3480000
"Leighton W. Smith, Jr.",6370000
Leisure,3850000000
Lemanu Peleti Mauga,30500
Len Deighton,1900000
Len R. Troncale,74100
Len Wein,7860000
Lena Dunham,7700000
Lena Horne,6490000
Lena Waithe,1630000
Leningrad Codex,17300000
Lenny Bruce,12700000
Lenore Coffee,3880000
Leo Amery,3730000
Leo Babauta,551000
Leo Burnett,11400000
Leo Buscaglia,2690000
Leo Damrosch,622000
Leo Igwe,3050000
Leo Laporte,4850000
Leo McKinstry,1260000
Leo Rosten,1950000
Leo Strauss,11900000
Leo Tolstoy,12500000
Leo William Cushley,42600
Leon Balogun,2200000
Leon Bertoletti,141000
Leon C. Megginson,520000
Leon Cooper,38500000
Leon Festinger,1260000
Leon Kass,4150000
Leon M. Lederman,1620000
Leon Rene Yankwich,12200
Leon Trotsky,5200000
Leon Uris,14900000
Leona Helmsley,347000
Leona Lewis,10600000
Leonard Bacon,11800000
Leonard Bernstein,24600000
Leonard Cohen,39300000
Leonard D. White,205000000
Leonard E. Read,96700000
Leonard H. Courtney,8270000
Leonard Hayflick,136000
Leonard Jimmie Savage,2390000
Leonard Mlodinow,710000
Leonard Nimoy,4280000
Leonard Susskind,1950000
Leonardo DiCaprio,120000000
Leonardo da Vinci,96100000
Leonhard Euler,2900000
Leonid Brezhnev,2150000
Leonid Hurwicz,116000
Leonid Kantorovich,818000
Leopards,342000000
Leopold I of Belgium,9560000
Leopold II of Belgium,5050000
Leopold Infeld,949000
Leopold Mandić,953000
Leopoldo Galtieri,124000
Leroy Chiao,2010000
Les Caractères,1670000000
Lesbian,2750000000
Lesego Motsumi,26300
Lesia Vasylenko,317000
Leslie Bricusse,608000
Leslie Feinberg,3200000
Leslie Feist,3880000
Leslie Groves,5000000
Leslie Lamport,1210000
Leslie Stephen,50600000
Leslie Stuart,25000000
Leslie Weatherhead,2140000
Lester B. Pearson,9090000
Lester del Rey,7130000
Leszek Kołakowski,1770000
Letitia Elizabeth Landon,991000
Letty Cottin Pogrebin,310000
Leung Chun-ying,3100000
Lev Landau,5220000
Lev Leviev,117000
Lev Mekhlis,20200
Lew Grade,7900000
Lew Wasserman,2420000
Lewis Black,1130000000
Lewis Carroll,49300000
Lewis H. Lapham,1380000
Lewis Hamilton,111000000
Lewis Mumford,9170000
Lewis Padgett,7130000
Lewis Pugh,8150000
Lewis Thomas,364000000
Lex Donaldson,3560000
Lex Immers,433000
Lexiphanicism,10100
Leyland Kirby,3140000
Leymah Gbowee,341000
Leó Szilárd,814000
Li Bai,255000000
Li Bin,338000000
Li Chia-wei,11700000
Li Meng-yen,6310000
Li Minqi,184000
Li Qiang,38500000
Li Qingzhao,552000
Li Wenliang,2880000
Li Yu (author),302000000
Li Yundi,753000
Li Zhi (philosopher),1640000
Liam Fox,20400000
Liam Gallagher,13000000
Liam Neeson,20600000
Liam O'Flaherty,2090000
Liaquat Ali Khan,4070000
Liban Yusuf Osman,313000
Libation,10500000
Liberal Democrats (UK),14600000
Liberal democracy,80100000
Liberal education,408000000
Liberation theology,9450000
Libraries,6920000000
Libya,858000000
Licio Gelli,157000
Lien Chan,28600000
Lien Fang Yu,3310000
Lierna Lake Como,227000
Liezi,242000
Life expectancy,265000000
Life of Earth,2710000000
Life on the Mississippi,334000000
Light,18520000000
Lighthouses,235000000
Lightning,1190000000
Lil Wayne,41600000
Lila (Hinduism),8000000
Lila Downs,38500000
Lilia Buckingham,1180000
Lilian Salami,1400000
Liliana Segre,1220000
Lilies,854000000
Lilith,110000000
Lillian Gilbreth,1510000
Lillian Gish,3060000
Lillian Hellman,2790000
Lillian Nkosazana Moremi,1940
Lillian Tibatemwa-Ekirikubinza,43900
Lily Tomlin,5010000
Lily-of-the-Valley,58400000
Lim Guan Eng,9010000
Limit,7320000000
Lin Cheng-yi,82900000
Lin Chia-lung,6720000
Lin Ching-yi,9540000
Lin Chuan,15000000
Lin Join-sane,3200000
Lin San-quei,734000
Lin Shu-ling,12000000
Lin Yu-fang,112000000
Lin Yutang,3320000
Lin-Manuel Miranda,17500000
Linah Mohohlo,14300
Lincoln Barnett,9350000
Lincoln Steffens,5460000
Linda Blair,24900000
Linda Evangelista,11400000
Linda McQuaig,1180000
Linda Ronstadt,6840000
Linda Smith,115000000
Linda Sue Park,156000000
Lindsay Hoyle,4250000
Lindsay Lohan,29800000
Lindsey Graham,25300000
Lindsey Vonn,5850000
Linear programming,876000000
Linguistics,738000000
Linji Yixuan,16700
Linux,1250000000
Lionel Aingimea,22100
Lionel Bart,8020000
Lionel Jeffries,4770000
Lionel Messi,171000000
Lionel Tertis,153000
Lionel Trilling,1340000
Lipman Bers,931000
Lips,2110000000
Lisa Goldstein,10400000
Lisa Kudrow,17400000
Lisa Marie Presley,24000000
Lisa Mason,68400000
Lisa Murkowski,1060000
Lisa Randall,24600000
Lisbon Treaty,6600000
Lisp (programming language),15300000
Listening,1390000000
Lita (wrestler),8770000
Literature,3180000000
Little Raven (Arapaho leader),807000
Little Red Songbook,7220000
Little Richard,916000000
Liu Chuanzhi,358000
Liu Cixin,1660000
Liu Guoshen,1730000
Liu Jieyi,463000
Liu Qiangdong,807000
Liu Shahe,1350000
Liu Xiaobo,4800000
Liu Yandong,865000
Liu Yifei,8090000
Liv Tyler,22800000
Lived experience,1100000000
Living,9980000000
Livy,10400000
Lixion Avila,40500
Liz Cheney,5890000
Liz Phair,2330000
Liz Shuler,1960000
Liz Truss,9260000
Liza Minnelli,4930000
Liza Tarbuck,905000
Lizabeth Scott,42600000
Llewellyn Vaughan-Lee,4870000
Lloyd Alexander,46200000
Lloyd Bentsen,1150000
Lloyd Kaufman,7310000
"Lloyd Kenyon, 1st Baron Kenyon",3520000
Lock,5000000000
Lockheed Martin F-35 Lightning II,7470000
Locksley Hall,888000
Logan Pearsall Smith,1600000
Logic,1910000000
Logical positivism,5250000
Logistics,1190000000
Lois Lowry,7280000
Lois McMaster Bujold,1050000
Lokanath Behera,178000
Loke Siew Fook,339000
Lola Shoneyin,141000
Lolita,137000000
London,6170000000
Lone pair,44300000
Loneliness,1130000000
Loni Anderson,7120000
Looking Backward: 2000–1887,3330000
Lord,2560000000
Lord Byron,21500000
Lord Charles Beresford,3210000
Lord Jim,84600000
Lord Randolph Churchill,6250000
Lorde,35000000
Loreen (singer),2480000
Loreena McKennitt,1540000
Lorenz Hart,9340000
Lorenzo Kom'boa Ervin,92700
Lorenzo Piretto,30900
Lorenzo Snow,16900000
Loretta Devine,5720000
Loretta Lynn,14200000
Loretta Ross,8620000
Lorin Maazel,855000
Lorna Dee Cervantes,1870000
Lorraine Hansberry,2050000
Lorrie Moore,19800000
Los Angeles,3250000000
Loser,408000000
Loss,7060000000
Lotfi A. Zadeh,1170000
Lou Andreas-Salomé,2680000
Lou Barletta,2080000
Lou Diamond Phillips,14300000
Lou Gehrig,5690000
Lou Reed,24800000
Lou Ye,27100000
Louie Gohmert,270000
Louis A. Allen,166000000
Louis Agassiz,2530000
Louis Althusser,1720000
Louis Antoine de Saint-Just,11600000
Louis Armstrong,41100000
Louis Auguste Blanqui,770000
Louis B. Mayer,27100000
Louis Bourdaloue,591000
Louis Bromfield,3290000
Louis Brownlow,3560000
Louis C.K.,37000000
Louis Comfort Tiffany,45500000
Louis Farrakhan,3590000
Louis Hémon,2380000
Louis Kauffman,6080000
Louis Kronenberger,1260000
Louis L'Amour,70200000
Louis Lecoin,3520000
Louis Lingg,1200000
Louis MacNeice,592000
Louis Philippe I,143000000
Louis Rukeyser,2980000
Louis Simpson,36400000
Louis Sullivan,51300000
Louis V. Gerstner Jr.,1100000
Louis de Broglie,2430000
Louis-Ferdinand Céline,8080000
Louisa Lytton,6360000
Louisa May Alcott,12100000
Louise Bourgeois,10900000
Louise Bours,237000
Louise Burfitt-Dons,26000
Louise Imogen Guiney,526000
Loujain al-Hathloul,143000
Loungo Matlhaku,1330
Love in the Time of Cholera,7440000
Love of God,2190000000
Lovis Corinth,1900000
Loyalty,874000000
Lu Jiuyuan,421000
Lu Shaye,3440000
Lu Xun,12100000
Lu-diĝira,198
Lubo Kristek,6670
Luboš Motl,107000
Luby's shooting,342000
Luc Besson,13200000
Luc Julian Matthys,485000
"Luc de Clapiers, Marquis de Vauvenargues",80700
Luca Beccari,376000
Luca Pacioli,1080000
Luca Parmitano,380000
Lucha Corpi,362000
Lucian,47200000
Lucian Freud,6650000
Lucian Truscott,1110000
Luciana Berger,4160000
Luciana Borio,445000
Luciano Berio,2260000
Luciano Pavarotti,7720000
Lucien Laurat,214000
Lucien Lévy-Bruhl,703000
Lucilla Andrews,1840000
Lucille Ball,14100000
Lucille Clifton,5140000
Lucinda Creighton,3310000
Lucinda Williams,10400000
Lucio Russo,9960000
Lucius Accius,263000
Lucius Cornelius Sulla,683000
Lucius Shepard,4890000
Luck,2510000000
Lucretia Maria Davidson,1690000
Lucy Green,319000000
Lucy Jumeyi Ogbadu,730
Lucy Kellaway,1240000
Lucy Larcom,1940000
Lucy Liu,32900000
Lucy Maud Montgomery,6870000
Lucy Parsons,8980000
Lucy R. Lippard,908000
Lucy Stone,70900000
Lucía Guzmán,24000000
Ludacris,18900000
Ludwig Andreas Feuerbach,1520000
Ludwig Boltzmann,1700000
Ludwig Klages,1800000
Ludwig Mies van der Rohe,3250000
Ludwig Wittgenstein,6540000
Ludwig von Bertalanffy,517000
Ludwig von Mises,3510000
Lugalbanda,97000
Lugalbanda and the Anzud Bird,1530
Lugalbanda in the Mountain Cave,15100
Luggage,675000000
Luigi Bressan,2370000
Luigi Cornaro,1270000
Luigi Pirandello,8540000
Luigi Russolo,425000
Luigi Zingales,1360000
Luis A. Ferré,7150000
Luis Alberto Urrea,2920000
Luis Alfaro,19900000
Luis Arce,24000000
Luis Armando Bambarén Gastelumendi,6270
Luis Augusto Castro Quiroga,3310000
Luis Barragán,12800000
Luis Buñuel,5420000
Luis Francisco Ladaria Ferrer,72800
Luis Lacalle Pou,5880000
Luis Rafael Sánchez,52700000
Luis Santeiro,397000
Luis Valdez,35400000
Luis Álvarez-Gaumé,13500
Luiz Carlos Alborghetti,96700
Luiz Inácio Lula da Silva,19600000
Lukas Moser,4790000
Luke Haines,5760000
Luke Rhinehart,2400000
Luke the Evangelist,11100000
Lullaby (Palahniuk novel),315000
Lulu Wang,15800000
Lumen fidei,1190000
Luminiferous aether,77600
Luminous mind,25200000
Lupe Ontiveros,1040000
Lust,664000000
Luther Burbank,4950000
Luther H. Gulick,1820000
Luther P. Eisenhart,514000
Luva de Pedreiro,7770000
Luvsannamsrain Oyun-Erdene,66100
Luxury,2360000000
Luís Gama,41700000
Luís María Peralta,22700000
Luís Miguel Muñoz Cárdaba,36400
Lydia Jele,846000
Lydia Maria Child,11700000
Lydia R. Diamond,9690000
Lydia Sigourney,3110000
Lyman Hakes Howe,1550000
Lyman Heath,6320000
Lynching,17000000
Lynda Gratton,1900000
Lyndall Urwick,138000
Lyndon B. Johnson,20800000
Lyndon LaRouche,1400000
Lynn Compton,9260000
Lynn Fitch,6700000
Lynn Jurich,777000
Lynn Nottage,1520000
Lynn Shelton,9670000
Lynne Cheney,4630000
Lyrics,2910000000
Lytton Strachey,2000000
László Moholy-Nagy,1770000
Léon Bloy,1700000
Léon Foucault,6610000
Lý Thường Kiệt,38900000
M. H. Abrams,6460000
M. J. Akbar,6670000
M. K. Hobson,5070000
M. K. Stalin,9230000
M. R. James,953000000
M. S. Swaminathan,23500000
M. Ward,1370000000
M1 Garand,15500000
MEChA,219000000
MILCK,369000
MJ Hegar,396000
MS Dhoni,28000000
Ma Anliang,89900
Ma Ho-ling,70900000
Ma Hongkui,1230000
Ma Xiaowei,3270000
Maajid Nawaz,276000
Maasir-i- Alamgiri,17800
Mabel Lang,10500000
Mabinogion,1170000
MacKenzie Porter,17300000
Macedonia (Greece),786000000
Macedonia (ancient kingdom),18700000
Macedonia (region),198000000
Macedonian language,332000000
Machine,9020000000
Maciu Navakasuasua,498
Macky Sall,9950000
Macram Max Gassis,3130
Macroeconomic model,112000000
Macy Gray,206000000
Mad (magazine),190000000
Mad Pride,62200000
Madagascar (country),452000000
Madalyn Murray O'Hair,317000
Madame Bovary,7850000
Madame Nhu,2820000
Madeleine Albright,5230000
Madeleine L'Engle,2710000
Madeleine Stowe,4780000
Madeleine Thien,3080000
Madhvacharya,399000
Madison Grant,140000000
