authors,weights
Akbar Hashemi Rafsanjani,210000
Akbaruddin Owaisi,2310000
Akeel Bilgrami,101000
Aki Kaurismäki,2380000
Akiba ben Joseph,1740000
Akihito,5850000
Akio Johnson Mutek,2140
Akio Morita,2660000
Akira Kurosawa,9840000
Akira Toriyama,12100000
Akosua Adomako Ampofo,113000
Akshay Agrawal,7070000
Akshay Kumar,96000000
Akua Kuenyehia,31600
Al Alvarez,273000000
Al B. Sure!,1280000000
Al Capone,26100000
Al Franken,11900000
Al Hurricane,116000000
Al Pacino,25000000
Al Sharpton,4050000
Al Tabor,14700000
Al-Ahli Arab Hospital explosion,1830000
Al-Biruni,2020000
Al-Maʿarri,25000
Al-Mutanabbi,384000
Al-Nasa'i,127000
Al-Shabaab,5180000
Al-Suyuti,899000
Al-Tabari,6330000
Al-Tirmidhi,2200000
Al-Zamakhshari,136000
Alabama,1070000000
Alain Aspect,37600000
Alain Finkielkraut,784000
Alain de Botton,3180000
Alain-René Lesage,1780000
Alan Alda,9650000
Alan Axelrod,4700000
Alan Ayckbourn,1480000
Alan Barth,11300000
Alan Bean,21400000
Alan Bennett,36100000
Alan Blinder,9090000
Alan Brownjohn,1780000
Alan Chalmers,9250000
Alan Charles Kors,6500000
Alan Clark,57200000
Alan Coren,4590000
Alan Cox,34000000
Alan Cumming,17400000
Alan Dershowitz,3130000
Alan Dzagoev,286000
Alan Ganoo,159000
Alan Gibbs,15100000
Alan Grayson,10400000
Alan Greenspan,5200000
Alan Guth,5540000
Alan Hirsch,11600000
Alan Hovhaness,261000
Alan John Kyerematen,383000
Alan Judd,8760000
Alan K. Simpson,23000000
Alan Kay,44900000
Alan Keyes,8480000
Alan Kotok,141000
Alan Lee (illustrator),9040000
Alan MacEachren,58200
Alan Menken,7650000
Alan Moore,63700000
Alan O. Ebenstein,3000000
Alan Paton,8540000
Alan Perlis,1340000
Alan Rickman,11200000
Alan Rusbridger,276000
Alan Ryan,115000000
Alan Shepard,11900000
Alan Sillitoe,3580000
Alan Stephen Williams,112000000
Alan Sugar,41600000
Alan Turing,13900000
Alan Wallace,30400000
Alan Watts,42800000
Alan Williams (novelist),23500000
Alana Semuels,29100
Alanis Morissette,10700000
Alar Karis,5540000
Alasdair Gray,7770000
Alasdair MacIntyre,3470000
Alaska,1120000000
Alassane Ouattara,7730000
Alastair Borthwick,2980000
Alastair Crooke,2490000
Alastair David McPhail,1590000
Alastair Reynolds,9190000
Alban Berg,9860000
Albania,1410000000
Albert Barnes,21500000
Albert Bryan,32700000
Albert Camus,24600000
Albert Caraco,315000
Albert Chevalier,14500000
Albert Coady Wedemeyer,163000
Albert Cohen,35600000
Albert Einstein,110000000
Albert F. Mummery,550000
Albert Finney,9780000
Albert Galloway Keller,5340000
Albert Hofmann,8650000
Albert Howard,44900000
"Albert II, Prince of Monaco",10200000
Albert Jay Nock,2740000
Albert Jubithana,20400
Albert K. Cohen,26400000
Albert Kesselring,7310000
Albert L. Lehninger,803000
Albert Leffingwell,3400000
Albert Lepawsky,44500
Albert Lutuli,43800
Albert Mackey,7300000
Albert Marquet,4360000
Albert Meltzer,8600000
Albert Memmi,482000
Albert Nolan,12100000
Albert O. Hirschman,2480000
Albert Parsons,19000000
Albert Pierrepoint,237000
Albert Pike,18200000
Albert Pujols,4940000
Albert Schinz,323000
Albert Schweitzer,13000000
Albert Speer,7270000
Albert Szent-Györgyi,1200000
"Albert, Prince Consort",6120000
Alberta,508000000
Alberto Fernández,103000000
Alberto Giacometti,10300000
Alberto Giraldo Jaramillo,1340000
Alberto Gonzales,18500000
Alberto Manguel,1210000
Alberto Moravia,7310000
Alberto Rojas,48300000
Alberto Santos-Dumont,8470000
Albertus Magnus,6690000
Albin Kurti,7300000
Albrecht Dürer,11400000
Albrecht Thaer,3170000
Alcaeus of Mytilene,23400
Alchemy,188000000
Alcoholic beverages,348000000
Alcoholism,660000000
Alcuin,9770000
Aldehyde,72500000
Aldo Capitini,1940000
Aldo Cavalli,11400000
Aldo Leopold,7260000
Aldo Palazzeschi,327000
Aldous Huxley,11000000
Alec Baldwin,28000000
Alec Douglas-Home,8450000
Alec Guinness,6200000
Alec Issigonis,227000
Alec Panchen,173000
Alec Reed,14000000
Alec Waugh,4290000
Aleister Crowley,6640000
Alejandro Fernández,74700000
Alejandro Giammattei,2130000
Alejandro Jodorowsky,3580000
Alek Minassian,132000
Aleksandar Stamboliyski,64500
Aleksandar Vučić,9980000
Aleksandr Dugin,293000
Aleksandr Panayotov Aleksandrov,5850
Aleksandr Pushkin,3870000
Aleksandr Solzhenitsyn,1370000
Aleksandr Vasilevsky,33700
Aleksandr Zinovyev,28800
Aleksis Kivi,6140000
Aleppo Codex,761000
Alessandra Torresani,3920000
Alessandro Magnoli Bocchi,47300
Alessandro Pavolini,129000
Alethea Arnaquq-Baril,28000
Alex Agase,131000
Alex Atala,5480000
Alex Crawford,30000000
Alex D. Linz,7830000
Alex Ferguson,50300000
Alex Grey,288000000
Alex Haley,30900000
Alex Jones,247000000
Alex Kozinski,796000
Alex Miller (writer),20900000
Alex Morgan,137000000
Alex Rodriguez,110000000
Alex Salmond,3780000
Alex Sanders (politician),12900000
Alex Steffen,13000000
Alex Webb (photographer),15400000
Alexander Alekhine,938000
Alexander Bain,27900000
Alexander Baron,34300000
Alexander Berkman,4200000
Alexander Blok,14800000
Alexander Bogdanov,4890000
Alexander Borodin,4650000
Alexander Borovsky,7500000
Alexander Bryan Johnson,23700000
Alexander Calder,13600000
Alexander Chee,8840000
Alexander Cockburn,6570000
Alexander De Croo,1570000
Alexander Dubček,487000
Alexander F. More,524000000
Alexander Fleming,21600000
Alexander Fraser Tytler,1680000
Alexander Graham Bell,27900000
Alexander Haig,9860000
Alexander Hamilton,76900000
Alexander Herrmann,12300000
Alexander Hume,11800000
Alexander I of Macedon,3320000
Alexander II of Russia,61200000
Alexander Jablokov,111000
Alexander Joseph Brunett,359000
Alexander Kronrod,42900
Alexander Lebed,2270000
Alexander Lukashenko,1870000
Alexander Mackenzie,42300000
Alexander Maclaren,5920000
Alexander McQueen,41300000
Alexander Nehamas,186000
Alexander Osterwalder,6950000
Alexander Pope,36500000
Alexander Rodchenko,2880000
Alexander Rosenberg,22300000
Alexander Rybak,8590000
Alexander Schallenberg,3840000
Alexander Schmemann,530000
Alexander Skutch,358000
Alexander Smith,494000000
Alexander Stepanov,5430000
Alexander Stubb,11800000
Alexander Suvorov,1120000
Alexander Vandegrift,4200000
Alexander Vindman,368000
Alexander William Williamson,24200000
Alexander Woollcott,423000
Alexander Zevin,2960000
Alexander the Great,515000000
Alexandra Kollontai,466000
Alexandra Maseko,235000
Alexandra Rojas,23400000
Alexandre Dumas,19000000
Alexandre Kojève,329000
Alexandre Vinet,4220000
Alexandria Ocasio-Cortez,4180000
Alexandros Panagoulis,21200
Alexei Alexeyevich Abrikosov,47400
Alexei Fenenko,2920
Alexei Maxim Russell,1720000
Alexei Panshin,180000
Alexei Sayle,4920000
Alexej von Jawlensky,717000
Alexia Manombe-Ncube,3510
Alexis,624000000
Alexis Carrel,7040000
Alexis Tsipras,2080000
Alexis de Tocqueville,5020000
Alf Ramsey,6540000
Alfie Kohn,7770000
Alfonso Uribe Misas,1370000
Alfre Woodard,8800000
Alfred (opera),22200000
Alfred Adler,16000000
Alfred Ainger,5350000
Alfred Austin,31200000
Alfred Barr,13200000
Alfred Bester,12000000
Alfred Binet,9080000
Alfred Brendel,6350000
Alfred Cortot,765000
"Alfred D. Chandler, Jr.",10200000
"Alfred Denning, Baron Denning",2490000
Alfred Hayes (writer),7570000
Alfred Hitchcock,25400000
Alfred Horsley Hinton,2120000
Alfred Jodl,425000
Alfred Jules Ayer,3440000
Alfred Kinsey,8400000
Alfred Korzybski,358000
Alfred Marshall,30800000
"Alfred Milner, 1st Viscount Milner",3100000
Alfred Nobel,22000000
Alfred North Whitehead,7510000
Alfred Noyes,8170000
Alfred P. Sloan,9880000
Alfred Perceval Graves,1680000
Alfred Rosenberg,11300000
Alfred Russel Wallace,15500000
Alfred Stieglitz,6460000
Alfred Stillé,348000
Alfred Tarski,5450000
Alfred Thayer Mahan,5120000
Alfred Whitney Griswold,3490000
Alfred de Musset,5740000
Alfred the Great,137000000
"Alfred, Lord Tennyson",7330000
Alfred-Maurice de Zayas,1240000
Alfredo Di Stéfano,15900000
Alfredo M. Bonanno,1230000
Algebra,1040000000
Algebraic topology,22900000
Algernon Charles Swinburne,3120000
Algernon Sidney,9120000
Algis Budrys,3370000
Algorithms,1170000000
Ali,2890000000
Ali Abdullah Saleh,9520000
Ali Dashti,4400000
Ali Erbaş,3990000
Ali Gomaa,6520000
Ali Khamenei,11000000
Ali Larijani,4700000
Ali Larter,6000000
Ali Raymi,629000
Ali Shariati,1040000
Ali Sistani,1110000
Ali Wong,68300000
Ali Younesi,185000
Ali Zayn al-Abidin,587000
Alice Bailey,35700000
Alice Cary,11200000
Alice Evans,47100000
Alice James,200000000
Alice Kimball Smith,7090000
Alice Meynell,1770000
Alice Miller (psychologist),5300000
Alice Moore Hubbard,7210000
Alice Munro,11700000
Alice Roosevelt Longworth,1250000
Alice T. Friedman,9190000
Alicia Garza,10200000
Alicia Mayer,14000000
Alicia Witt,12700000
Alida Francis,9510000
Aliko Dangote,2800000
Alisa Valdes,9340000
Alison Jaggar,4370000
Alison Lohman,3680000
Alistair Cameron Crombie,1120000
Alistair Cooke,9040000
Alkali,131000000
Alkaline Trio,5780000
Alkene,25200000
Alkyne,15700000
All Creatures Great and Small,159000000
All the Pretty Horses (novel),13200000
Allah,904000000
Allan Bloom,14500000
Allan Boesak,247000
Allan Kaprow,313000
Allan Kardec,5490000
Allan MacLeod Cormack,1040000
Allan Sherman,11000000
Allen B. Rosenstein,1880000
Allen C. Guelzo,301000
Allen Chastanet,4830000
Allen Henry Vigneron,674000
Allen Iverson,15900000
Allen Mandelbaum,6750000
Allen Newell,11200000
Allen Tate,43700000
Allen W. Wood,177000000
Allen West (politician),60500000
Allie (wrestler),7430000
Alligators,139000000
Allison Pearson,18000000
Alma Thomas,77200000
Alonzo King,14300000
Aloysius Ferdinandus Zichem,871
Aloysius Sudarso,232000
Alp Arslan,20600000
Alphabet,946000000
Alphonse Karr,8410000
Alphonse de Lamartine,4790000
Alphonsus Liguori,5530000
Altaf Hussain Hali,583000
Alternative energy,1380000000
Alternative medicine,1150000000
Altruism,59300000
Alun Lewis,5370000
Alvar Aalto,11400000
Alvin Plantinga,3600000
Alvin Toffler,4930000
Alvin York,27800000
Alwin Mittasch,42100
Alyson Hannigan,9140000
Alyson Michalka,6980000
Alyssa Campanella,3340000
Alyssa Dweck,4800000
Alyssa Milano,19200000
Alzheimer's disease,356000000
Ama Ata Aidoo,669000
Amanda Filipacchi,139000
Amanda Gorman,8150000
Amanda Lear,10300000
Amanda Lee Koe,5350000
Amanda Palmer,23200000
Amanda Ripley,13200000
Amani Abeid Karume,391000
Amartya Sen,5390000
Amateur,3020000000
Amber (singer),32000000
Amber Benson,19600000
Amber Heard,77500000
Amber Rudd,9960000
Amberin Zaman,80300
Ambrose,62000000
Ambrose Bierce,5030000
Ambrose Philips,6960000
Ambrosius Theodosius Macrobius,35200
Amedeo Modigliani,7480000
Ameenah Gurib-Fakim,169000
Ameer Haider Khan Hoti,67500
Amel Karboul,87400
Amelia Earhart,11200000
Amelia Kyambadde,1370000
Amendment of pleadings,6970000
American Civil Liberties Union,16800000
American Civil War,707000000
American Gods,1810000000
American Israel Public Affairs Committee,27200000
American Negro Academy,20400000
American Outdoor Brands Corporation,183000000
American football,1260000000
Americas,12310000000
Ami Ayalon,3410000
Ami Faku,1640000
Amina J. Mohammed,6050000
Amina Mama,16200000
Amina Wadud,5180000
Amir D-va,16700000
Amir Khan (boxer),13300000
Amir Khusrow,63900
Amir R. Alexander,14300000
Amir Taheri,4090000
Amira Roess,4550000
Amit Chaudhuri,2650000
Amit Ray,24300000
Amit Shah,69100000
Amitabh Bachchan,40200000
